case:concept:name,concept:name,time:timestamp,sensor,value,quality_flag
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 00:00:00.000000,temperature,19.515470967741937,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 00:45:00.000000,light,113.22337193548388,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 01:00:00.000000,light,150.2328893206951,False
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 01:00:00.000000,temperature,18.331246144825563,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 01:15:00.000000,light,146.61634172413795,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 01:30:00.000000,light,133.23031577209798,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 01:45:00.000000,light,133.3178415148189,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 02:00:00.000000,light,150.97354539140022,False
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 02:00:00.000000,temperature,17.92696518973214,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 02:15:00.000000,light,144.56097596756754,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 02:30:00.000000,light,124.80850270952928,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 02:45:00.000000,light,127.88540685227274,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 03:00:00.000000,light,125.05500275345622,False
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 03:00:00.000000,temperature,17.570021293815902,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 03:15:00.000000,light,127.42788321510297,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 03:30:00.000000,light,123.24346029147982,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 03:45:00.000000,light,119.14049287185354,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 04:00:00.000000,light,127.42339758507136,False
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 04:00:00.000000,temperature,17.132830143805307,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 04:15:00.000000,light,119.39432489384289,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 04:30:00.000000,light,124.27508275395034,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 04:45:00.000000,light,126.57273456100341,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 05:00:00.000000,light,129.24487025236593,False
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 05:00:00.000000,temperature,16.83174610780142,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 05:15:00.000000,light,128.9762969122807,True
Lab_2004-02-28,Low_Occupancy,2004-02-28 05:30:00.000000,light,123.90977171764706,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 05:45:00.000000,light,122.91517872119816,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 06:00:00.000000,light,122.95558772428883,False
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 06:00:00.000000,temperature,16.61765676807145,False
Lab_2004-02-28,Lab_Opening,2004-02-28 06:00:16.439142,light,1.0,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 06:15:00.000000,light,123.63518955434782,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 06:30:00.000000,light,135.01443192771083,False
Lab_2004-02-28,Low_Occupancy,2004-02-28 06:45:00.000000,light,157.20788272727273,False
Lab_2004-02-28,High_Occupancy,2004-02-28 07:00:00.000000,light,251.3157775058548,True
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 07:00:00.000000,temperature,17.10021489361702,False
Lab_2004-02-28,High_Occupancy,2004-02-28 07:15:00.000000,light,453.7918282528736,True
Lab_2004-02-28,High_Occupancy,2004-02-28 07:30:00.000000,light,538.0776827440346,True
Lab_2004-02-28,High_Occupancy,2004-02-28 07:45:00.000000,light,624.2428397836538,True
Lab_2004-02-28,High_Occupancy,2004-02-28 08:00:00.000000,light,715.2272507674418,True
Lab_2004-02-28,HVAC_Heating_Active,2004-02-28 08:00:00.000000,temperature,19.129516183786947,True
Lab_2004-02-28,High_Occupancy,2004-02-28 08:15:00.000000,light,778.2234010882707,True
Lab_2004-02-28,High_Occupancy,2004-02-28 08:30:00.000000,light,844.4659386185818,True
Lab_2004-02-28,High_Occupancy,2004-02-28 08:45:00.000000,light,890.9456078947368,True
Lab_2004-02-28,High_Occupancy,2004-02-28 09:00:00.000000,light,912.6757774683543,True
Lab_2004-02-28,HVAC_Normal,2004-02-28 09:00:00.000000,temperature,21.145150278172014,True
Lab_2004-02-28,High_Occupancy,2004-02-28 09:15:00.000000,light,938.8519519476082,True
