type,sensor_id,case_id,severity,confidence,description,nan_percentage,affected_samples,activity,num_affected_sensors,event_nan_pct
missing_data,sensor_35,S1_ADL1,high,0.95,Sensor sensor_35 has 100.0% missing data in S1_ADL1,99.99804366538852,51115.0,,,
missing_data,sensor_36,S1_ADL1,high,0.95,Sensor sensor_36 has 100.0% missing data in S1_ADL1,99.99804366538852,51115.0,,,
missing_data,sensor_37,S1_ADL1,high,0.95,Sensor sensor_37 has 100.0% missing data in S1_ADL1,99.99804366538852,51115.0,,,
missing_data,sensor_220,S1_ADL1,high,0.95,Sensor sensor_220 has 100.0% missing data in S1_ADL1,99.99804366538852,51115.0,,,
missing_data,sensor_221,S1_ADL1,high,0.95,Sensor sensor_221 has 100.0% missing data in S1_ADL1,99.99804366538852,51115.0,,,
missing_data,sensor_222,S1_ADL1,high,0.95,Sensor sensor_222 has 100.0% missing data in S1_ADL1,99.99804366538852,51115.0,,,
missing_data,sensor_14,S1_ADL2,high,0.95,Sensor sensor_14 has 98.6% missing data in S1_ADL2,98.58180238331678,31767.0,,,
missing_data,sensor_15,S1_ADL2,high,0.95,Sensor sensor_15 has 98.6% missing data in S1_ADL2,98.58180238331678,31767.0,,,
missing_data,sensor_16,S1_ADL2,high,0.95,Sensor sensor_16 has 98.6% missing data in S1_ADL2,98.58180238331678,31767.0,,,
missing_data,sensor_35,S1_ADL2,high,0.95,Sensor sensor_35 has 100.0% missing data in S1_ADL2,99.99689672293943,32223.0,,,
missing_data,sensor_36,S1_ADL2,high,0.95,Sensor sensor_36 has 100.0% missing data in S1_ADL2,99.99689672293943,32223.0,,,
missing_data,sensor_37,S1_ADL2,high,0.95,Sensor sensor_37 has 100.0% missing data in S1_ADL2,99.99689672293943,32223.0,,,
missing_data,sensor_35,S1_ADL3,high,0.95,Sensor sensor_35 has 100.0% missing data in S1_ADL3,99.99699456015388,33272.0,,,
missing_data,sensor_36,S1_ADL3,high,0.95,Sensor sensor_36 has 100.0% missing data in S1_ADL3,99.99699456015388,33272.0,,,
missing_data,sensor_37,S1_ADL3,high,0.95,Sensor sensor_37 has 100.0% missing data in S1_ADL3,99.99699456015388,33272.0,,,
missing_data,sensor_35,S1_ADL4,high,0.95,Sensor sensor_35 has 100.0% missing data in S1_ADL4,99.99696555909574,32954.0,,,
missing_data,sensor_36,S1_ADL4,high,0.95,Sensor sensor_36 has 100.0% missing data in S1_ADL4,99.99696555909574,32954.0,,,
missing_data,sensor_37,S1_ADL4,high,0.95,Sensor sensor_37 has 100.0% missing data in S1_ADL4,99.99696555909574,32954.0,,,
missing_data,sensor_195,S1_ADL4,medium,0.95,Sensor sensor_195 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_196,S1_ADL4,medium,0.95,Sensor sensor_196 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_197,S1_ADL4,medium,0.95,Sensor sensor_197 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_198,S1_ADL4,medium,0.95,Sensor sensor_198 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_199,S1_ADL4,medium,0.95,Sensor sensor_199 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_200,S1_ADL4,medium,0.95,Sensor sensor_200 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_201,S1_ADL4,medium,0.95,Sensor sensor_201 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_202,S1_ADL4,medium,0.95,Sensor sensor_202 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_203,S1_ADL4,medium,0.95,Sensor sensor_203 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_204,S1_ADL4,medium,0.95,Sensor sensor_204 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_205,S1_ADL4,medium,0.95,Sensor sensor_205 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_206,S1_ADL4,medium,0.95,Sensor sensor_206 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_207,S1_ADL4,medium,0.95,Sensor sensor_207 has 85.6% missing data in S1_ADL4,85.57426794113184,28201.0,,,
missing_data,sensor_14,S1_ADL5,high,0.95,Sensor sensor_14 has 98.1% missing data in S1_ADL5,98.09141301822287,29552.0,,,
missing_data,sensor_15,S1_ADL5,high,0.95,Sensor sensor_15 has 98.1% missing data in S1_ADL5,98.09141301822287,29552.0,,,
missing_data,sensor_16,S1_ADL5,high,0.95,Sensor sensor_16 has 98.1% missing data in S1_ADL5,98.09141301822287,29552.0,,,
missing_data,sensor_35,S1_ADL5,high,0.95,Sensor sensor_35 has 100.0% missing data in S1_ADL5,99.99668071829257,30126.0,,,
missing_data,sensor_36,S1_ADL5,high,0.95,Sensor sensor_36 has 100.0% missing data in S1_ADL5,99.99668071829257,30126.0,,,
missing_data,sensor_37,S1_ADL5,high,0.95,Sensor sensor_37 has 100.0% missing data in S1_ADL5,99.99668071829257,30126.0,,,
missing_data,sensor_23,S1_Drill,high,0.95,Sensor sensor_23 has 97.8% missing data in S1_Drill,97.78772331987047,53750.0,,,
missing_data,sensor_24,S1_Drill,high,0.95,Sensor sensor_24 has 97.8% missing data in S1_Drill,97.78772331987047,53750.0,,,
missing_data,sensor_25,S1_Drill,high,0.95,Sensor sensor_25 has 97.8% missing data in S1_Drill,97.78772331987047,53750.0,,,
missing_data,sensor_35,S1_Drill,high,0.95,Sensor sensor_35 has 100.0% missing data in S1_Drill,99.99818069351963,54965.0,,,
missing_data,sensor_36,S1_Drill,high,0.95,Sensor sensor_36 has 100.0% missing data in S1_Drill,99.99818069351963,54965.0,,,
