case_id,activity,start_time,end_time,duration_ms,posture,nan_percentage,movement_intensity,gesture_id
S1_ADL1,Open Fridge,1970-01-01 00:05:59.230,1970-01-01 00:06:02.596,3366.0,Stand,2.479338842975207,1005.9090969003805,406520
S1_ADL1,Close Fridge,1970-01-01 00:06:06.296,1970-01-01 00:06:08.096,1800.0,Stand,2.479338842975207,1006.5583505879878,404520
S1_ADL1,Open Door 2,1970-01-01 00:06:19.396,1970-01-01 00:06:23.263,3867.0,Stand,2.6930749501282416,1013.6648000010545,406517
S1_ADL1,Open Door 1,1970-01-01 00:06:30.429,1970-01-01 00:06:36.196,5767.0,Stand,4.545454545454546,1003.6242169397561,406516
S1_ADL1,Open Drawer 2,1970-01-01 00:06:44.229,1970-01-01 00:06:46.296,2067.0,Stand,6.145027992535324,1012.4370243284803,406511
S1_ADL1,Close Drawer 2,1970-01-01 00:06:49.429,1970-01-01 00:06:50.596,1167.0,Stand,5.844155844155844,1004.1098442186347,404511
S1_ADL1,Open Drawer 1,1970-01-01 00:06:51.463,1970-01-01 00:06:53.096,1633.0,Stand,4.545454545454546,999.0036226610604,406519
S1_ADL1,Close Drawer 1,1970-01-01 00:06:55.163,1970-01-01 00:06:56.229,1066.0,Stand,4.545454545454546,998.4017162407231,404519
S1_ADL1,Open Drawer 3,1970-01-01 00:06:57.796,1970-01-01 00:06:59.396,1600.0,Stand,5.018939393939394,998.3262788730088,406508
S1_ADL1,Close Drawer 3,1970-01-01 00:07:00.696,1970-01-01 00:07:04.096,3400.0,Stand,4.4846864365580945,1001.6796223357305,404508
S1_ADL1,Close Door 2,1970-01-01 00:07:32.929,1970-01-01 00:07:37.462,4533.0,Walk,2.479338842975207,1008.9058354762875,404517
S1_ADL1,Toggle Switch,1970-01-01 00:07:45.395,1970-01-01 00:07:47.295,1900.0,Stand,2.479338842975207,995.7901288491267,405506
S1_ADL1,Open Door 1,1970-01-01 00:07:53.395,1970-01-01 00:07:57.795,4400.0,Stand,2.479338842975207,1007.6463503497683,406516
S1_ADL1,Close Door 1,1970-01-01 00:12:01.093,1970-01-01 00:12:03.226,2133.0,Walk,2.479338842975207,1011.4242075846146,404516
S1_ADL1,Close Door 1,1970-01-01 00:12:03.693,1970-01-01 00:12:05.293,1600.0,Stand,2.479338842975207,1004.029312251931,404516
S1_ADL1,Open Door 2,1970-01-01 00:12:12.926,1970-01-01 00:12:15.659,2733.0,Stand,2.706107639588793,1004.4625950464233,406517
S1_ADL1,Open Drawer 2,1970-01-01 00:12:25.926,1970-01-01 00:12:28.226,2300.0,Stand,2.479338842975207,1003.0716670970312,406511
S1_ADL1,Close Drawer 2,1970-01-01 00:12:29.226,1970-01-01 00:12:31.192,1966.0,Stand,2.479338842975207,999.7301336610545,404511
S1_ADL1,Open Drawer 1,1970-01-01 00:12:31.359,1970-01-01 00:12:33.059,1700.0,Walk,2.479338842975207,1000.9195747425772,406519
S1_ADL1,Close Drawer 1,1970-01-01 00:12:33.092,1970-01-01 00:12:35.492,2400.0,Stand,2.479338842975207,1004.4783596628398,404519
S1_ADL1,Open Fridge,1970-01-01 00:12:51.992,1970-01-01 00:12:54.559,2567.0,Stand,2.479338842975207,1005.6506039062675,406520
S1_ADL1,Close Fridge,1970-01-01 00:13:02.226,1970-01-01 00:13:04.959,2733.0,Stand,2.479338842975207,1005.6627837708492,404520
S1_ADL1,Drink from Cup,1970-01-01 00:14:59.424,1970-01-01 00:15:10.958,11534.0,Stand,2.5474131753690346,1005.1727432476501,407521
S1_ADL1,Drink from Cup,1970-01-01 00:15:11.858,1970-01-01 00:15:19.924,8066.000000000001,Sit,2.576668260364729,1005.844567273019,407521
S1_ADL1,Drink from Cup,1970-01-01 00:15:23.224,1970-01-01 00:15:32.424,9200.0,Sit,2.479338842975207,1001.997862735469,407521
S1_ADL1,Drink from Cup,1970-01-01 00:15:34.691,1970-01-01 00:15:44.324,9633.0,Sit,2.479338842975207,1002.0039001814723,407521
S1_ADL1,Open Fridge,1970-01-01 00:16:07.924,1970-01-01 00:16:10.024,2100.0,Stand,2.479338842975207,1004.2251989310068,406520
S1_ADL1,Open Drawer 1,1970-01-01 00:17:40.223,1970-01-01 00:17:41.823,1600.0,Walk,2.479338842975207,996.7787035156822,406519
S1_ADL1,Close Drawer 1,1970-01-01 00:17:51.623,1970-01-01 00:17:53.223,1600.0,Stand,2.479338842975207,1002.9861244463955,404519
